"sku","asin","title","days","action","reason","price","new_price","priceTrace","new_priceTrace","priceTraceChange"
"20250201-B0007RBX52-UM-1650-1","B0007RBX52","JVCケンウッド ビクター カセットアダプター C-P8","266","price_down_4","Rule for 266 days (price_down_4)","4463","4463.0","0","0","0.0"
"20250201-B000LVNOKQ-UVG-330-1","B000LVNOKQ","ひらがなあそび KH-150","266","price_down_4","Rule for 266 days (price_down_4)","1120","1120.0","0","0","0.0"
"20250201-B000RGMGAY-UVG-550-1","B000RGMGAY","OLYMPUS 防水プロテクター μ780用 PT-039","266","price_down_4","Rule for 266 days (price_down_4)","2971","2971.0","0","0","0.0"
"20250201-B0011EZ50E-N-330-1","B0011EZ50E","東和産業 食器棚用 キッチンシート 幅30cm ズレ キズ防止 クリア","266","price_down_4","Rule for 266 days (price_down_4)","1702","1702.0","0","0","0.0"
"20250201-B001L7UT5W-UVG-330-1","B001L7UT5W","PLANEX ひかりTV・フレッツv6対応 高機能・高速ブロードバンド有線LANルータ BRL-04M","266","price_down_4","Rule for 266 days (price_down_4)","1477","1477.0","0","0","0.0"
"20250201-B01B7MZJ8C-N-550-1","B01B7MZJ8C","エンスカイ(ENSKY) 108ピース ジグソーパズル おそ松さん 松野家の6つ子たち ラージピース(26x38cm) 108-L553","266","price_down_4","Rule for 266 days (price_down_4)","1477","1477.0","0","0","0.0"
"20250329-B005VLND4I-UM-330-1","B005VLND4I","佐藤金属興業 SALUS マルチコンティ L 2h ブラウン×ミント","210","priceTrace","Rule for 210 days (priceTrace)","2327","2327.0","0","5.0","5.0"
"2025_0102_7727_new_440_2","B004JF4P58","キングジム ショットノート メモパッド Lサイズ 9102 白","296","priceTrace","Rule for 296 days (priceTrace)","1255","1255.0","0","1.0","1.0"
"2025_0106_2655_new_330_1","B01HT4VAYY","北川工業 キタリア 大型テレビ用転倒防止固定具 【SUPERタックフィット】 60型以下対応 日本製 2個入り TF-VCB-TV-2S","292","priceTrace","Rule for 292 days (priceTrace)","2132","2132.0","0","1.0","1.0"
"2025_0106_3286_used02_880_1","B00NPPM0IW","OGK技研 オージーケー技研 チャイルドシート周辺グッズBKF-001(HBCシリーズ用ブランケット)チャコール自転車用","292","priceTrace","Rule for 292 days (priceTrace)","4704","4704.0","0","1.0","1.0"
"2025_0117_3426_used02_990_1","B01LVWLD4H","バンダイ(BANDAI) 目覚めろ動物の力！変身携帯ジュウオウチェンジャー＆本能覚醒マスクセット","281","priceTrace","Rule for 281 days (priceTrace)","1570","1570.0","0","1.0","1.0"
"2025_0117_7286_new_550_1","B07T146CXS","HDMI信号をアナログ映像信号へ変換出力 HDMI to コンポジット コンバーター （RS-HD2AV1）","281","priceTrace","Rule for 281 days (priceTrace)","3474","3474.0","0","1.0","1.0"
"2025_0117_9192_new_770_1","B09G99SL2G","miffy ミッフィー ブック型加湿器 USB充電 卓上(ブラウン)","281","priceTrace","Rule for 281 days (priceTrace)","2580","2580.0","0","1.0","1.0"
"2025_0125_3495_new_110_5","B0000A40YM","EPSON 写真用紙 L判写真サイズ 20枚入り KL20PSK","273","priceTrace","Rule for 273 days (priceTrace)","762","762.0","0","1.0","1.0"
"2025_0125_3678_used02_858_1","B07DGPBF22","ウルトラマンR/B(ルーブ) DXルーブスラッガー","273","priceTrace","Rule for 273 days (priceTrace)","1773","1773.0","0","1.0","1.0"
